tpnc,ean,nazev,znacka,cena_kc,jednotkova_cena,jednotka,energie_kj,energie_kcal,tuky_g,nasycene_mk_g,sacharidy_g,cukry_g,bilkoviny_g,sul_g,vlaknina_g
105008562,08593837270347,Vitana Guláš 28g,VITANA,15.9,636,kg,1243.0,294.0,7.9,1.4,30.5,8.3,13.5,0.0,
200107728,08590132015505,Kotányi Nové koření celé 15g,KOTANYI,24.9,1660,kg,,280,7.0,,45.0,,10.0,,
200107902,08590132015451,Kotányi Pepř černý celý 20g,KOTANYI,32.9,1645,kg,,280,7.0,,45.0,,10.0,,
220290382,08595019510272,Avokádo Grilovací s příchutí slaniny 20g,Avokádo ,19.9,995,kg,726.0,173.0,5.2,0.5,22.0,7.6,6.1,55.7,
120244560,08590132018018,Kotányi Česnek medvědí krájený 4g,Kotányi,26.9,6725,kg,,360,16.0,,49.0,,6.0,,
216081128,08590132018100,Kotányi Čína Wok 38g,Kotányi,27.9,734.21,kg,928.0,221.0,2.1,0.3,41.0,33.0,5.1,38.0,
200107964,08590132009702,Kotányi Kmín celý 100g,KOTANYI,54.9,549,kg,,280,7.0,,45.0,,10.0,,
220053336,08593837255771,Vitana Nové koření celé 15g,Vitana,21.9,1460,kg,,280,7.0,,45.0,,10.0,,
220053329,08593837256013,Vitana Chilli kousky 18g,Vitana,18.5,1027.78,kg,,280,7.0,,45.0,,10.0,,
220053319,08593837257485,J.C.Horn Kmín drcený 20g,J.C.Horn,13.9,695,kg,,280,7.0,,45.0,,10.0,,
220053299,08593837257478,J.C.Horn Kmín mletý 18g,J.C.Horn,13.9,772.22,kg,,280,7.0,,45.0,,10.0,,
218575786,08593837241699,Vitana Majoránka 20g,Vitana,31.9,1595,kg,,280,7.0,,45.0,,10.0,,
120527986,08595012035505,Avokádo Paprika sladká maďarská mletá 25g,Avokádo,26.9,1076,kg,,160,15.0,,9.0,,2.0,,
216080701,08590132019220,Kotányi Paprika gulášová mletá 25g,Kotányi,25.9,1036,kg,,26,0.3,,6.0,,1.0,,
220151366,08590132015383,Kotányi Muškátový ořech celý 9g,Kotányi,32.9,3655.56,kg,,280,7.0,,45.0,,10.0,,
220169973,08590132015079,Kotányi Kardamom mletý 10g,Kotányi,44.9,4490,kg,,280,7.0,,45.0,,10.0,,
218379353,08590132015994,Kotányi Kurkuma mletá 35g,Kotányi,28.9,825.71,kg,,280,7.0,,45.0,,10.0,,
120528144,08595012003153,Avokádo Guláš 31g,Avokádo,19.9,641.94,kg,1467.0,350.0,8.5,1.4,44.0,9.6,11.0,14.7,
105008558,08593837270408,Vitana Kuře 7 bylin 25g,VITANA,15.9,636,kg,643.0,153.0,2.5,0.6,21.0,7.0,7.7,57.0,
